boundary,decision_time,liquidity_ratio,lower_liquidity,lower_pair,relative_gap,upper_liquidity,upper_pair,year
4_5,2019-03-18T00:00:00+00:00,1.0714951317785797,10723.809821641658,LTC-USDT,0.06672464452536014,11490.510018008355,NEO-USDT,2019
6_7,2019-03-18T00:00:00+00:00,2.219022258063653,4074.317530866527,ETC-USDT,0.549351072813207,9041.001287411767,XRP-USDT,2019
8_9,2019-03-18T00:00:00+00:00,1.3862151014531496,1925.0362711976938,XLM-USDT,0.27861123504446444,2668.514349979304,TRX-USDT,2019
10_11,2019-03-18T00:00:00+00:00,1.2381575894929409,948.0925479179618,ONT-USDT,0.19234836624510201,1173.8879837463242,BCHSV-USDT,2019
4_5,2019-03-25T00:00:00+00:00,1.0268110888093265,10443.800167834976,NEO-USDT,0.026111023830504426,10723.809821641658,LTC-USDT,2019
6_7,2019-03-25T00:00:00+00:00,1.891427057933075,4330.014839859071,ETC-USDT,0.47129867059595415,8189.907229361197,XRP-USDT,2019
8_9,2019-03-25T00:00:00+00:00,1.4765832706911968,2442.090774612282,XLM-USDT,0.3227608494224003,3605.9503833018016,TRX-USDT,2019
10_11,2019-03-25T00:00:00+00:00,1.0014827400998694,1888.6806147774778,BCHSV-USDT,0.001480544836670358,1891.4810372608542,ONT-USDT,2019
4_5,2019-04-01T00:00:00+00:00,1.311361378250024,11490.510018008355,NEO-USDT,0.23743369555806745,15068.211054011144,LTC-USDT,2019
6_7,2019-04-01T00:00:00+00:00,1.8267664028955382,5461.087229429168,TRX-USDT,0.45258463347314803,9976.130674003081,XRP-USDT,2019
8_9,2019-04-01T00:00:00+00:00,1.0532515575581027,4012.702454723735,XLM-USDT,0.050559201337962614,4226.385110454997,ETC-USDT,2019
10_11,2019-04-01T00:00:00+00:00,1.2091955249062998,1735.9992454162393,ONT-USDT,0.17300388613537937,2099.16251879803,BCHSV-USDT,2019
4_5,2019-04-08T00:00:00+00:00,1.0645817998846134,15068.211054011144,LTC-USDT,0.060664008995469615,16041.343244920412,XRP-USDT,2019
6_7,2019-04-08T00:00:00+00:00,1.6342477421586028,8313.218460555065,TRX-USDT,0.3880976707490225,13585.85849923333,NEO-USDT,2019
8_9,2019-04-08T00:00:00+00:00,1.1805316454638193,4035.55851088734,ETC-USDT,0.15292402042546704,4764.104529223352,XLM-USDT,2019
10_11,2019-04-08T00:00:00+00:00,1.1919082112815278,2356.9031068565,ONT-USDT,0.16100921989218456,2809.2121662572067,BCHSV-USDT,2019
4_5,2019-04-15T00:00:00+00:00,1.2786087655165608,23955.109894037774,LTC-USDT,0.21789993392075815,30629.21348942919,XRP-USDT,2019
6_7,2019-04-15T00:00:00+00:00,1.4421618646465673,14431.28615499967,TRX-USDT,0.3065965586012278,20812.250550542514,NEO-USDT,2019
8_9,2019-04-15T00:00:00+00:00,1.5583301854566949,4861.8746366995965,ETC-USDT,0.3582874737763402,7576.4060042752835,XLM-USDT,2019
10_11,2019-04-15T00:00:00+00:00,1.3844019273840618,3439.912233023005,ONT-USDT,0.27766642026453975,4762.22112542906,BCHSV-USDT,2019
4_5,2019-04-22T00:00:00+00:00,1.214883165227664,36170.99636360572,XRP-USDT,0.17687558061387387,43943.53455165564,LTC-USDT,2019
6_7,2019-04-22T00:00:00+00:00,1.3168757643283109,15827.539318789817,TRX-USDT,0.24062692389964163,20842.902937867733,NEO-USDT,2019
8_9,2019-04-22T00:00:00+00:00,1.3647340159593846,5803.43342698034,BCHSV-USDT,0.2672564849224359,7920.143007155814,XLM-USDT,2019
10_11,2019-04-22T00:00:00+00:00,1.1295530301182564,3699.360587823461,SNX-USDT,0.1146940662933665,4178.623961476044,ETC-USDT,2019
4_5,2019-04-29T00:00:00+00:00,1.1634907225607094,57422.7405944919,XRP-USDT,0.14051742690383054,66810.82594570157,LTC-USDT,2019
6_7,2019-04-29T00:00:00+00:00,1.5441205968735532,18876.690186826032,TRX-USDT,0.3523821895616556,29147.88611827896,NEO-USDT,2019
8_9,2019-04-29T00:00:00+00:00,1.4219055766008621,9587.622786817374,BCHSV-USDT,0.29671842036758095,13632.694306921123,ETC-USDT,2019
10_11,2019-04-29T00:00:00+00:00,1.0723144465982821,8037.502963760469,SNX-USDT,0.06743772484618321,8618.73054261686,XLM-USDT,2019
4_5,2019-05-06T00:00:00+00:00,1.1475916664949686,77536.54387358992,LTC-USDT,0.1286099148364769,88980.2915981533,XRP-USDT,2019
6_7,2019-05-06T00:00:00+00:00,1.3024228326015939,26165.910807665266,TRX-USDT,0.23220019261909233,34079.07967172006,NEO-USDT,2019
8_9,2019-05-06T00:00:00+00:00,1.0145108621746266,25197.609159154545,BCHSV-USDT,0.01430330883153123,25563.248192793148,ETC-USDT,2019
10_11,2019-05-06T00:00:00+00:00,1.1087138483932182,9609.442271098864,SNX-USDT,0.09805401867287004,10654.121721302488,XLM-USDT,2019
