decision_time,period,metric,left_variant,right_variant,left_count,right_count,intersection_size,union_size,exact_match,jaccard,symmetric_difference_size,substitution_count,shared_slot_rate,left_only,right_only,mean_common_rank_displacement,left_liquidity,right_liquidity,liquidity_retained_ratio,left_current_seed_slots,right_current_seed_slots,left_evidence_strong_slots,right_evidence_strong_slots
2019-01-07T00:00:00+00:00,FULL,TOP_6,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-07T00:00:00+00:00,FULL,TOP_8,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-07T00:00:00+00:00,FULL,TOP_10,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-07T00:00:00+00:00,FULL,HYSTERESIS,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-14T00:00:00+00:00,FULL,TOP_6,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-14T00:00:00+00:00,FULL,TOP_8,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-14T00:00:00+00:00,FULL,TOP_10,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-14T00:00:00+00:00,FULL,HYSTERESIS,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-21T00:00:00+00:00,FULL,TOP_6,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-21T00:00:00+00:00,FULL,TOP_8,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-21T00:00:00+00:00,FULL,TOP_10,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-21T00:00:00+00:00,FULL,HYSTERESIS,E10,D2,0,0,0,0,True,1.0,0,0.0,0.0,,,0.0,0,0,0.0,0,0,0,0
2019-01-28T00:00:00+00:00,FULL,TOP_6,E10,D2,2,2,2,2,True,1.0,0,0.0,1.0,,,0.0,679016.89611526,679016.89611526,1.0,0,0,2,2
2019-01-28T00:00:00+00:00,FULL,TOP_8,E10,D2,2,2,2,2,True,1.0,0,0.0,1.0,,,0.0,679016.89611526,679016.89611526,1.0,0,0,2,2
2019-01-28T00:00:00+00:00,FULL,TOP_10,E10,D2,2,2,2,2,True,1.0,0,0.0,1.0,,,0.0,679016.89611526,679016.89611526,1.0,0,0,2,2
