decision_time,year,top_n,c_asset,d_asset,c_rank,d_rank,c_liquidity,d_liquidity,absolute_liquidity_difference,relative_liquidity_difference,proximity_class,near_registered_cutoff,c_cutoff_margin,d_cutoff_margin,c_provenance,d_provenance
2019-01-07T00:00:00+00:00,2019,6,VET-USDT,,3,,16803.68863719,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-01-07T00:00:00+00:00,2019,10,VET-USDT,,3,,16803.68863719,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-01-14T00:00:00+00:00,2019,6,VET-USDT,,3,,16189.261127315,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-01-14T00:00:00+00:00,2019,6,NEO-USDT,,4,,16152.92000181,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-01-14T00:00:00+00:00,2019,10,VET-USDT,,3,,16189.261127315,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-01-14T00:00:00+00:00,2019,10,NEO-USDT,,4,,16152.92000181,,,,ABSENT_FROM_VARIANT,False,,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-18T00:00:00+00:00,2019,6,NEO-USDT,TRX-USDT,4,6,11490.510018008355,2668.514349979304,8821.995668029052,0.7677636287860933,LARGE_LIQUIDITY_GAP,True,0.549351072813207,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,MULTI_CHANNEL_CONFIRMED
2019-03-18T00:00:00+00:00,2019,10,NEO-USDT,,4,,11490.510018008355,,,,ABSENT_FROM_VARIANT,False,0.19234836624510201,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-18T00:00:00+00:00,2019,10,ETC-USDT,,7,,4074.317530866527,,,,ABSENT_FROM_VARIANT,False,0.19234836624510201,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-18T00:00:00+00:00,2019,10,XLM-USDT,,9,,1925.0362711976936,,,,ABSENT_FROM_VARIANT,True,0.19234836624510201,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-18T00:00:00+00:00,2019,10,BCHSV-USDT,,10,,1173.8879837463242,,,,ABSENT_FROM_VARIANT,True,0.19234836624510201,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-25T00:00:00+00:00,2019,6,NEO-USDT,TRX-USDT,5,6,10443.800167834976,3605.9503833018016,6837.849784533174,0.6547281329254576,LARGE_LIQUIDITY_GAP,True,0.47129867059595415,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,MULTI_CHANNEL_CONFIRMED
2019-03-25T00:00:00+00:00,2019,10,NEO-USDT,,5,,10443.800167834976,,,,ABSENT_FROM_VARIANT,False,0.0014805448366705983,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
2019-03-25T00:00:00+00:00,2019,10,ETC-USDT,,7,,4330.014839859071,,,,ABSENT_FROM_VARIANT,False,0.0014805448366705983,,CURRENT_SEED_ONLY_KLINE_CONFIRMED,
