first_decision,final_decision,duration_weeks,left_only,right_only,resolved_within_one_week,resolved_within_four_weeks,persistent_4_weeks,persistent_8_weeks,persistent_13_weeks,persistent_26_weeks,metric,period,hysteresis_absorbed
2019-01-07T00:00:00+00:00,2019-01-07T00:00:00+00:00,1,VET-USDT,,True,True,False,False,False,False,TOP_4,FULL,False
2019-01-14T00:00:00+00:00,2019-01-14T00:00:00+00:00,1,NEO-USDT;VET-USDT,,True,True,False,False,False,False,TOP_4,FULL,False
2019-03-18T00:00:00+00:00,2019-03-18T00:00:00+00:00,1,NEO-USDT,LTC-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2019-07-15T00:00:00+00:00,2019-07-15T00:00:00+00:00,1,BCHSV-USDT,XRP-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2019-07-22T00:00:00+00:00,2019-09-23T00:00:00+00:00,10,BCHSV-USDT,LTC-USDT,False,False,True,True,False,False,TOP_4,FULL,False
2019-12-30T00:00:00+00:00,2020-02-10T00:00:00+00:00,7,BCHSV-USDT,XRP-USDT,False,False,True,False,False,False,TOP_4,FULL,False
2020-02-17T00:00:00+00:00,2020-02-17T00:00:00+00:00,1,BCHSV-USDT,LTC-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2020-02-24T00:00:00+00:00,2020-03-16T00:00:00+00:00,4,BCHSV-USDT,XRP-USDT,False,True,True,False,False,False,TOP_4,FULL,False
2020-03-23T00:00:00+00:00,2020-05-25T00:00:00+00:00,10,BCHSV-USDT,LTC-USDT,False,False,True,True,False,False,TOP_4,FULL,False
2020-06-01T00:00:00+00:00,2020-06-01T00:00:00+00:00,1,BCHSV-USDT,XRP-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2021-03-29T00:00:00+00:00,2021-03-29T00:00:00+00:00,1,VET-USDT,XRP-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2021-05-03T00:00:00+00:00,2021-05-03T00:00:00+00:00,1,VET-USDT,KCS-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2024-03-18T00:00:00+00:00,2024-03-25T00:00:00+00:00,2,PEPE-USDT,SHIB-USDT,False,True,False,False,False,False,TOP_4,FULL,False
2024-04-01T00:00:00+00:00,2024-04-01T00:00:00+00:00,1,PEPE-USDT,DOGE-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2024-05-20T00:00:00+00:00,2024-06-10T00:00:00+00:00,4,PEPE-USDT,DOGE-USDT,False,True,True,False,False,False,TOP_4,FULL,False
2024-06-17T00:00:00+00:00,2024-06-17T00:00:00+00:00,1,PEPE-USDT,SHIB-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2024-06-24T00:00:00+00:00,2024-06-24T00:00:00+00:00,1,PEPE-USDT,JASMY-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2024-07-01T00:00:00+00:00,2024-07-08T00:00:00+00:00,2,PEPE-USDT,ONDO-USDT,False,True,False,False,False,False,TOP_4,FULL,False
2024-07-15T00:00:00+00:00,2024-07-22T00:00:00+00:00,2,PEPE-USDT,XRP-USDT,False,True,False,False,False,False,TOP_4,FULL,False
2024-10-14T00:00:00+00:00,2024-10-21T00:00:00+00:00,2,PEPE-USDT,XRP-USDT,False,True,False,False,False,False,TOP_4,FULL,False
2024-10-28T00:00:00+00:00,2024-10-28T00:00:00+00:00,1,SUI-USDT,XRP-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2024-11-04T00:00:00+00:00,2024-11-04T00:00:00+00:00,1,SUI-USDT,DOGE-USDT,True,True,False,False,False,False,TOP_4,FULL,False
2019-07-15T00:00:00+00:00,2019-07-15T00:00:00+00:00,1,BCHSV-USDT,XRP-USDT,True,True,False,False,False,False,TOP_4,POST_WARMUP,False
