metric_id,tier,portfolio_metric
SPEARMAN_RANK_IC,PRIMARY,False
MEAN_RANK_IC,PRIMARY,False
MEDIAN_RANK_IC,PRIMARY,False
IC_INFORMATION_RATIO,PRIMARY,False
POSITIVE_IC_PERIOD_SHARE,PRIMARY,False
TOP_QUINTILE_MINUS_UNIVERSE_MEAN,PRIMARY,False
TOP_QUINTILE_HIT_RATE,PRIMARY,False
QUANTILE_MONOTONICITY,PRIMARY,False
FOLD_SIGN_CONSISTENCY,PRIMARY,False
REGIME_SIGN_CONSISTENCY,PRIMARY,False
TOP_MINUS_BOTTOM_DIAGNOSTIC,SECONDARY,False
MFE_MAE_BY_QUINTILE,SECONDARY,False
SCORE_TURNOVER,SECONDARY,False
SYMBOL_CONCENTRATION,SECONDARY,False
EFFECTIVE_SAMPLE_SIZE,SECONDARY,False
MISSING_LABEL_SHARE,SECONDARY,False
