signal_id,mean_one_way_turnover,median_turnover,mean_gross_top_excess,mean_cost_proxy,mean_net_top_excess_proxy,retention_share,portfolio_authorization
AGE_OR_TENURE,0.0018315018315018315,0.0,0.0004952708241801883,3.6630036630036627e-06,0.0004916078205171845,0.999213990960896,False
DISTANCE_FROM_EMA20_ATR_4H,0.5377747252747253,0.5,-1.4919387615336825e-05,0.0010755494505494507,-0.0010904688381647874,0.3200819354877127,False
DONCHIAN_42_POSITION,0.4860347985347986,0.5,0.0001584460322041652,0.0009720695970695971,-0.0008136235648654317,0.37655132579479217,False
DRAWDOWN_RESILIENCE_42,0.12866300366300365,0.16666666666666666,-7.09971869959775e-05,0.0002573260073260073,-0.0003283231943219848,0.803866926287834,False
LOW_REALIZED_VOLATILITY_42,0.11858974358974358,0.16666666666666666,-0.0002925216673820205,0.00023717948717948722,-0.0005297011545615077,0.8074605357961615,False
PATH_EFFICIENCY_42BAR,0.30517399267399264,0.3333333333333333,0.0002314462165626961,0.0006103479853479854,-0.000378901768785289,0.5574912020579146,False
PRICE_TURNOVER_CONFIRMATION_18,0.6726190476190476,0.6666666666666666,0.0003923995768360049,0.0013452380952380953,-0.0009528385184020903,0.21238142875006696,False
QUOTE_TURNOVER_ACCELERATION_6_42,0.6286630036630036,0.6666666666666666,0.0007434350441957295,0.0012573260073260074,-0.0005138909631302777,0.24574989430560268,False
RETURN_18BAR,0.44436813186813184,0.5,-0.00025169895429866273,0.0008887362637362637,-0.0011404352180349265,0.40843649701971574,False
RETURN_42BAR,0.2866300366300366,0.3333333333333333,0.0006859334993279323,0.0005732600732600733,0.00011267342606785894,0.5788057426296767,False
RETURN_6BAR,0.7662545787545787,0.8333333333333333,-0.000630802596198249,0.0015325091575091577,-0.0021633117537074066,0.1444047470182271,False
REVERSAL_1BAR_VOL_NORMALIZED,0.7763278388278387,0.8333333333333333,-0.0010354436183007934,0.0015526556776556777,-0.002588099295956471,0.13439920922726972,False
REVERSAL_3BAR_VOL_NORMALIZED,0.7852564102564102,0.8333333333333333,-0.0006747428082637221,0.0015705128205128207,-0.002245255628776543,0.13024765239345706,False
REVERSAL_6BAR_VOL_NORMALIZED,0.803113553113553,0.8333333333333333,-5.7182047165311054e-05,0.0016062271062271063,-0.0016634091533924175,0.11917385686299027,False
VOLATILITY_CONTRACTION_BREAKOUT_4H,0.08333333333333331,0.0,0.0007177936129750603,0.00016666666666666666,0.0005511269463083936,0.8854921786145995,False
XSM_18BAR_SKIP_1BAR,0.4429945054945055,0.5,0.00022746952853330808,0.000885989010989011,-0.000658519482455703,0.409481531764888,False
