path,sha256,size_bytes
reports\research\ams-rd09-source-candidate-registry-v1.csv,05a64ac6f8e752a91c0698bf952246753778891c48fdc707df7284064bd1adf8,748
reports\research\ams-rd09-economic-entity-mapping-v1.csv,c6212be8969f363cdb37572f056a4ba9db78bc4fce1e17be89861c9bdef37d63,7665
reports\research\ams-rd09-metric-catalog-v1.csv,2dea48795217fd4e51085e6cf4a1d5f156f5744cebf6687e28cdbc90353b2c30,7024
reports\research\ams-rd09-pit-revision-audit-v1.csv,61b592c1dd29d0ca6ff89e4eb006914185f89b449affcd57e59aeddb5f7b9054,1017
reports\research\ams-rd09-pilot-request-manifest-v1.csv,c24091fc9daf7751be3be5978bab39eecef43559c309790eca2c97a0696541ce,3572
reports\research\ams-rd09-pilot-quality-v1.csv,6ba1bcf3e14f1a7cbfcd7d433d7757867effee45bc921a8d7090ee2a46b34776,979
reports\research\ams-rd09-asset-coverage-v1.csv,23376a4138bb46212f7804db8be6859cdcc4be241f6f59422ccdb9053c1ef006,3315
reports\research\ams-rd09-fold-coverage-v1.csv,eb2efd2adeec4395a73430d4a6914a8972bb3d7508dbce9ef05d781757bb0ef1,348
reports\research\ams-rd09-market-level-coverage-v1.csv,6e08ea94f03b2270f173425216a0094bf673e4b01d79ccf0d3a468a85ac11897,554
reports\research\ams-rd09-cost-license-registry-v1.csv,17f412587c2c0a94d8549a28e284e336c1e4d408155937db7645c79caa6847af,1107
reports\research\ams-rd09-source-selection-score-v1.csv,55d73e3816da1bba2036b815d57ec6b53a47b1d50422409f5498f534e1a77282,616
reports\research\ams-rd09-selected-source-manifest-v1.csv,cc8876e3119ba2d6136af5856962688bd9255dfeb80c2ad3d541797ae6ec6cad,169
reports\research\ams-rd09-source-freeze-reconciliation-v1.csv,a6bc47052af2ae4f24b452dfacb2dfa3f66f336e247f7e09d0a0cc3eaa8c6bec,404
reports\research\ams-rd09-final-decision-v1.json,522dab95ae33c8c68d0f7aaf1bd0a5069fa13335e0c3905e6feb26c0a840cb00,2436
reports\research\ams-rd09-final-decision-v1.md,c92fc14b68d5f75808f28b7f012d7929bb3bc033889be0750bbf3495715ea826,680
