source,status,rows,columns,date_start,date_end,detail
data\research\strategy_results\ams_v1_h01_volatility_breakout\ams-v1-h01-volatility-breakout-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\ams_v1_h01_volatility_breakout\ams-v1-h01-volatility-breakout-trades.parquet,READ,86,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
data\research\strategy_results\ams_v1_h02_aggressive_reacceleration\ams-v1-h02-aggressive-reacceleration-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\ams_v1_h02_aggressive_reacceleration\ams-v1-h02-aggressive-reacceleration-trades.parquet,READ,93,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
data\research\strategy_results\ams_v1_h03_liquidity_sweep_reversal\ams-v1-h03-liquidity-sweep-reversal-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\ams_v1_h03_liquidity_sweep_reversal\ams-v1-h03-liquidity-sweep-reversal-trades.parquet,READ,87,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
data\research\strategy_results\ams_v1_h04_cross_sectional_rotation\ams-v1-h04-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\ams_v1_h04_cross_sectional_rotation\ams-v1-h04-trades.parquet,READ,637,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
data\research\strategy_results\ams_v1_h05_compression_expansion\ams-v1-h05-compression-expansion-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\ams_v1_h05_compression_expansion\ams-v1-h05-compression-expansion-trades.parquet,READ,57,8,,,"symbol,entry_signal_time,exit_signal_time,entry_price,exit_price,net_trade_return_after_round_trip_cost,holding_days,exit_reason"
data\research\strategy_results\momentum_reacceleration_v1\momentum-reacceleration-v1-daily-results.parquet,READ,1461,11,,,"snapshot_time,gross_return,turnover,transaction_cost,net_return,equity,benchmark_return,benchmark_equity,exposure,active_positions,drawdown"
data\research\strategy_results\momentum_reacceleration_v2_risk_control\momentum-reacceleration-v2-daily-results.parquet,READ,1461,17,,,"snapshot_time,base_gross_return,trailing_annualized_volatility,volatility_scale,drawdown_scale,risk_scale,gross_return,turnover,transaction_cost,net_return,equity,drawdown,benchmark_return,effective_exposure,next_target_exposure,active_positions,benchmark_equity"
reports\research\adaptive-trade-decisions.csv,READ,1,3,,,"status,component,reason"
reports\research\ams-ati-v1-counterfactual-results.csv,READ,1,2,,,"status,reason"
