source_kind,source_name,source_commit,block_index,language,start_line,end_line,line_count,sha256,python_like,python_ast_valid,executable_score,accounting_score,executable_candidate,accounting_candidate
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,1,text,8,12,5,c3de495ce4557f31d233f92b9f5b030de6b3e84d3553b590bcffa1f0e5b1e5e1,False,False,0,0,False,False
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,2,json,1240,1299,60,4600dfba9cd508f149150d4a55cfcd6ffdbccf536956fdf29d028b1fb47c7bd3,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,3,json,1305,1320,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,4,json,1326,1341,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,5,json,1347,1362,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,6,json,1368,1427,60,4600dfba9cd508f149150d4a55cfcd6ffdbccf536956fdf29d028b1fb47c7bd3,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,7,json,1433,1448,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,8,json,1454,1469,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,9,json,1475,1490,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,10,json,1496,1555,60,52c39787dfe74f63653e98656cc7c50a4358c5d78510894c7501a19ca08a950c,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,11,json,1561,1576,16,0eb226a2085e3ec4413050ca516a65d918d75de74491934172e7da72043d2677,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,12,json,1582,1597,16,8702f5d9618b7f1d9ef3a419c33892537047c91faafb14a2cfa950b8a25eb9d5,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,13,json,1603,1618,16,b1b1bdda13bdcb5c601954014d899efb0efe81df9597c9a9f87e0a4f4c63a417,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,14,json,1624,1683,60,1f2991c63626818b547ce6c72e6b70d081dbe04c4461565e78c52ddaff778107,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,15,json,1689,1704,16,e7f778baa48d170eba2be3b568d4c7862e7a02e331b016f132202573647599d8,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,16,json,1710,1725,16,787b389a638935d37f47f3ed4375c418d1d294805dda14cd004a883154b152d0,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,17,json,1731,1746,16,56f4dda4aae048e05f3adf1bab3c8c066861a2cdb57a2beb75b153a62a541d95,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,18,json,1752,1811,60,b32bcb4dda1ad3a0eac6f2964f49e73ee85f5dfeb302fa2716f48b4539788cd1,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,19,json,1817,1832,16,31e203267295ed57b8bf06f3e73aa85be5be637a9ac041ed91731ee69952172b,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,20,json,1838,1853,16,8697113d1ec72c1b79aa5f0a21b1df5e175739e7295199260d76cddae7f68155,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,21,json,1859,1874,16,b167ddbd0389d80c22c04a1e428c2c7ed1f3ebeed13676961f3fcf0213d0a242,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,22,json,1880,1939,60,66259adadd77754a79d9a8b51f7b1c1339e41125ce54cb17f92a3557a00258d8,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,23,json,1945,1960,16,329bab614fcee0eb93245b74acbfe6d74aed939b544b6705be8162fdeec6be55,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,24,json,1966,1981,16,fa8597cee260d339294a5d3d3734dd2e13a8d8591f569cd8b7ca764f2cd76648,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,25,json,1987,2002,16,bf3b9c3bc8d3ba3efbad55838f191ef2998d811f8dd48b3fe54e9fd146c36e4a,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,26,json,2582,2641,60,4600dfba9cd508f149150d4a55cfcd6ffdbccf536956fdf29d028b1fb47c7bd3,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,27,json,2647,2662,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,28,json,2668,2683,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,29,json,2689,2704,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,30,json,2710,2769,60,4600dfba9cd508f149150d4a55cfcd6ffdbccf536956fdf29d028b1fb47c7bd3,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,31,json,2775,2790,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,32,json,2796,2811,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,33,json,2817,2832,16,75e8e975935f102fddecaa70b98f3db31094782fbd1254dde7bd3b13ddf717de,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,34,json,2838,2897,60,52c39787dfe74f63653e98656cc7c50a4358c5d78510894c7501a19ca08a950c,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,35,json,2903,2918,16,0eb226a2085e3ec4413050ca516a65d918d75de74491934172e7da72043d2677,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,36,json,2924,2939,16,8702f5d9618b7f1d9ef3a419c33892537047c91faafb14a2cfa950b8a25eb9d5,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,37,json,2945,2960,16,b1b1bdda13bdcb5c601954014d899efb0efe81df9597c9a9f87e0a4f4c63a417,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,38,json,2966,3025,60,1f2991c63626818b547ce6c72e6b70d081dbe04c4461565e78c52ddaff778107,False,False,1,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,39,json,3031,3046,16,e7f778baa48d170eba2be3b568d4c7862e7a02e331b016f132202573647599d8,False,False,0,3,False,True
LOCAL_FILE,BF01_SOURCE_SCHEMA_FOR_CHATGPT.md,,40,json,3052,3067,16,787b389a638935d37f47f3ed4375c418d1d294805dda14cd004a883154b152d0,False,False,0,3,False,True
