month,strategy_return,benchmark_return,observations,strategy_positive,target_met
2021-01,1.1227287315585994,0.18723435210491846,31,True,True
2021-02,0.7132666810851833,0.34549443880349684,28,True,True
2021-03,-0.2627142780848881,0.2741052686362615,31,False,False
2021-04,0.4396337931950365,-0.08843903285870358,30,True,True
2021-05,-0.18293395669118073,-0.33447601123259807,31,False,False
2021-06,0.0,0.007420520474464176,30,False,False
2021-07,0.11439660819455066,0.17567511118413504,31,True,False
2021-08,0.29066896348190663,0.11284026415773662,31,True,True
2021-09,-0.06217895529211004,-0.11587875949852078,30,False,False
2021-10,0.039249412658231675,0.48917950063678384,31,True,False
2021-11,0.2761867348158462,-0.06593550493970657,30,True,True
2021-12,-0.4256532940474016,-0.18441466732667067,31,False,False
2022-01,-0.37876711098951144,-0.1960320357197427,31,False,False
2022-02,-0.22254424788608984,-0.004703721007578876,28,False,False
2022-03,0.23873084237640696,0.24824235480697054,31,True,False
2022-04,0.12916272244800386,-0.18003233681276265,30,True,False
2022-05,-0.13494746379282985,-0.17753766826019923,31,False,False
2022-06,-0.19446682794653924,-0.36593188140521815,30,False,False
2022-07,0.14215303821791347,0.174482272040702,31,True,False
2022-08,-0.1853406186431542,-0.16196310194135743,31,False,False
2022-09,-0.06956416887094152,-0.011156207091511328,30,False,False
2022-10,-0.07426259407742386,0.053005319420480035,31,False,False
2022-11,-0.08937844471121592,-0.2030212974319936,30,False,False
2022-12,-0.046414956921005945,0.01001873570489975,31,False,False
2023-01,0.1092682427884768,0.37482157806298466,31,True,False
2023-02,-0.07854176387051026,0.029070327764002757,28,False,False
2023-03,-0.17144252100889967,0.19311651270699515,31,False,False
2023-04,-0.008836552068797965,0.04276157345464271,30,False,False
2023-05,0.06377734892317255,-0.05242250051324171,31,True,False
2023-06,-0.028345199260776055,0.0994767800851446,30,False,False
2023-07,-0.12381484532399323,-0.03844158062058245,31,False,False
2023-08,-0.2289614601382488,-0.06753465877458731,31,False,False
2023-09,-0.10961819888686608,-0.014329145452547709,30,False,False
2023-10,0.33450284677007636,0.2810760392124798,31,True,True
2023-11,0.5027687177527527,0.09802892076522607,30,True,True
2023-12,0.06314873311541369,0.11339950175548008,31,True,False
2024-01,0.0795698907478255,0.01893207799664931,31,True,False
2024-02,0.07620136738172589,0.4537704368318225,29,True,False
2024-03,0.463279530599368,0.11438786346882912,31,True,True
2024-04,-0.09853843683061736,-0.08209035674398368,30,False,False
2024-05,0.2164320069361796,0.07036038321447946,31,True,False
2024-06,-0.25094607421598025,-0.10780653372931703,30,False,False
2024-07,0.42240645784256925,0.08536159425161705,31,True,True
2024-08,-0.23774984167050128,-0.10688655956053628,31,False,False
2024-09,0.2960552699087413,0.10966759705658435,30,True,True
2024-10,0.08768912558328168,0.10286289216134659,31,True,False
2024-11,1.4678477246449337,0.347117170912951,30,True,True
2024-12,-0.08455372093719282,-0.047833938722322,31,False,False
