signal_id,family_id,fold_id,decision_time,matched_symbol_count,signal_unique_count,label_unique_count,evaluable,exclusion_reason,rank_ic,top_count,top_mean_return,universe_mean_return,top_quintile_excess,top_quintile_hit_rate,bottom_count,bottom_mean_return,top_minus_bottom_spread,q1_mean_return,q2_mean_return,q3_mean_return,q4_mean_return,q5_mean_return,quintile_monotonicity,quintile_monotonicity_reason
XSM_RETURN_7D,CROSS_SECTIONAL_MOMENTUM,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.17063403781979977,6,0.19634680195365448,0.12266901188576958,0.0736777900678849,1.0,6,0.12547839975146433,0.07086840220219015,0.12547839975146433,0.10433335779330492,0.09035051635910274,0.09683598357132135,0.19634680195365448,-0.1,
XSM_RETURN_28D,CROSS_SECTIONAL_MOMENTUM,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.30055617352614017,6,0.18819614733913823,0.12266901188576958,0.06552713545336865,1.0,6,0.1222738729580128,0.06592227438112543,0.1222738729580128,0.146718197198051,0.08696787715282935,0.06918896478081644,0.18819614733913823,-0.1,
XSM_RETURN_84D,CROSS_SECTIONAL_MOMENTUM,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.39844271412680754,6,0.07137129208720601,0.12266901188576958,-0.05129771979856357,1.0,6,0.15564026426594546,-0.08426897217873945,0.15564026426594546,0.1128362610739142,0.08767851529262997,0.18581872670915214,0.07137129208720601,0.4,
XSM_28D_SKIP_1D,CROSS_SECTIONAL_MOMENTUM,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.40734149054505003,6,0.05479553334488289,0.12266901188576958,-0.06787347854088668,1.0,6,0.1222738729580128,-0.0674783396131299,0.1222738729580128,0.1413454325137015,0.22588135711650817,0.06904886349574242,0.05479553334488289,0.6,
TSM_RETURN_28D,TIME_SERIES_TREND,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.30055617352614017,6,0.18819614733913823,0.12266901188576958,0.06552713545336865,1.0,6,0.1222738729580128,0.06592227438112543,0.1222738729580128,0.146718197198051,0.08696787715282935,0.06918896478081644,0.18819614733913823,-0.1,
TSM_RETURN_84D,TIME_SERIES_TREND,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.39844271412680754,6,0.07137129208720601,0.12266901188576958,-0.05129771979856357,1.0,6,0.15564026426594546,-0.08426897217873945,0.15564026426594546,0.1128362610739142,0.08767851529262997,0.18581872670915214,0.07137129208720601,0.4,
EMA_20_50_TREND_STATE,TIME_SERIES_TREND,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.17330367074527253,6,0.07061735276011398,0.12266901188576958,-0.0520516591256556,1.0,6,0.0860489210236595,-0.015431568263545525,0.0860489210236595,0.12179008433510152,0.241986395953214,0.09290230535675881,0.07061735276011398,0.3,
MULTI_HORIZON_TREND_AGREEMENT,TIME_SERIES_TREND,WF01,2023-01-02 00:00:00+00:00,30,4,30,True,,-0.30126124036976276,6,0.07747060282855374,0.12266901188576958,-0.04519840905721584,1.0,6,0.09877213129654416,-0.021301528467990424,0.09877213129654416,0.15109828063162692,0.1080624778544711,0.17794156681765186,0.07747060282855374,0.1,
REVERSAL_1D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.023804226918798667,6,0.08958901489491633,0.12266901188576958,-0.03307999699085325,1.0,6,0.1888341112994656,-0.09924509640454926,0.1888341112994656,0.14425164553539963,0.06573447718055014,0.1249358105185161,0.08958901489491633,0.7,
REVERSAL_3D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,WF01,2023-01-02 00:00:00+00:00,30,30,30,True,,-0.09187986651835373,6,0.10339950969651827,0.12266901188576958,-0.019269502189251303,1.0,6,0.20388373873706664,-0.10048422904054836,0.20388373873706664,0.1360534605645272,0.10241882464781833,0.06758952578291737,0.10339950969651827,0.7,
