factor,classification,evidence
survivorship_bias,PRIMARY_SUPPORTED_FAILURE,D1 fixed replay cannot validate PIT edge
m05_selection_ranking_weakness,PRIMARY_SUPPORTED_FAILURE,D5D2 M05 underperformed PIT equal weight
entrant_underperformance,SECONDARY_SUPPORTED_CONTRIBUTOR,D3 negative entrant contribution
survivor_displacement,SECONDARY_SUPPORTED_CONTRIBUTOR,D3 removed-survivor contribution
benchmark_relative_weakness,PRIMARY_SUPPORTED_FAILURE,D5D2 base and stress relative gates fail
liquidity,REJECTED_EXPLANATION,D5A liquidity floor fail
tail_events,DIAGNOSTIC_BUT_UNCONFIRMED,D5C1 labels explain 7.16 percent of loss
stop_containment,DIAGNOSTIC_BUT_UNCONFIRMED,"D5B2 aggregate improvement, one improved fold"
weekday_timing,REJECTED_EXPLANATION,D5E0 Tuesday gate fails
membership_exits,REJECTED_EXPLANATION,D5F treatment not authorized
accounting_artifacts,DIAGNOSTIC_BUT_UNCONFIRMED,D5D repairs BF01 but no M05 relative edge
economic_alpha_source,UNRESOLVED,requires independently registered RD05 research
