signal_id,family_id,economic_direction,required_sources,required_raw_columns,decision_cutoff,lookback_length,minimum_observations,warmup_requirement,missing_input_behavior,cross_sectional_or_time_series,rank_direction,tie_handling,winsorization,normalization,formula_determinism,source_readiness,p2_build_eligibility
XSM_RETURN_7D,CROSS_SECTIONAL_MOMENTUM,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,CROSS_SECTIONAL,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,7D close return rank,SOURCE_READY,True
XSM_RETURN_28D,CROSS_SECTIONAL_MOMENTUM,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,CROSS_SECTIONAL,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,28D close return rank,SOURCE_READY,True
XSM_RETURN_84D,CROSS_SECTIONAL_MOMENTUM,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,CROSS_SECTIONAL,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,84D close return rank,SOURCE_READY,True
XSM_28D_SKIP_1D,CROSS_SECTIONAL_MOMENTUM,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,CROSS_SECTIONAL,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,28D return excluding latest 1D,SOURCE_READY,True
TSM_RETURN_28D,TIME_SERIES_TREND,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,own 28D close return,SOURCE_READY,True
TSM_RETURN_84D,TIME_SERIES_TREND,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,own 84D close return,SOURCE_READY,True
EMA_20_50_TREND_STATE,TIME_SERIES_TREND,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"EMA(close, span=20/50, adjust=False, min_periods=50): EMA20-EMA50",SOURCE_READY,True
MULTI_HORIZON_TREND_AGREEMENT,TIME_SERIES_TREND,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,BLOCKED_FORMULA_AMBIGUITY: horizon agreement was not frozen in P0,BLOCKED_FORMULA_AMBIGUITY,False
REVERSAL_1D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"-r1 / sample_std(log_returns, 28, ddof=1)",SOURCE_READY,True
REVERSAL_3D_VOL_NORMALIZED,REVERSAL_AND_OVEREXTENSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"-r3 / sample_std(log_returns, 28, ddof=1)",SOURCE_READY,True
DISTANCE_FROM_EMA20_ATR,REVERSAL_AND_OVEREXTENSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,-(close-EMA20)/Wilder_ATR14,SOURCE_READY,True
RSI14_OVEREXTENSION,REVERSAL_AND_OVEREXTENSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,-Wilder_RSI14(close),SOURCE_READY,True
DONCHIAN_20_POSITION,BREAKOUT_AND_VOLATILITY_EXPANSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,20D Donchian position,SOURCE_READY,True
DONCHIAN_55_POSITION,BREAKOUT_AND_VOLATILITY_EXPANSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,55D Donchian position,SOURCE_READY,True
VOLATILITY_CONTRACTION_BREAKOUT,BREAKOUT_AND_VOLATILITY_EXPANSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,BLOCKED_FORMULA_AMBIGUITY: contraction and breakout windows absent,BLOCKED_FORMULA_AMBIGUITY,False
ATR_EXPANSION_WITH_POSITIVE_RETURN,BREAKOUT_AND_VOLATILITY_EXPANSION,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,BLOCKED_FORMULA_AMBIGUITY: ATR comparison window absent,BLOCKED_FORMULA_AMBIGUITY,False
RETURN_PATH_EFFICIENCY_28D,TREND_QUALITY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,net return divided by path length,SOURCE_READY,True
OLS_TREND_TSTAT_28D,TREND_QUALITY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,28D OLS trend t-statistic,SOURCE_READY,True
POSITIVE_BAR_BREADTH_28D,TREND_QUALITY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,share of positive daily bars,SOURCE_READY,True
DRAWDOWN_ADJUSTED_MOMENTUM_28D,TREND_QUALITY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"r28 / max(abs(drawdown_28d), 0.01)",SOURCE_READY,True
VOLUME_ZSCORE_30D,VOLUME_AND_ATTENTION_PROXY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,30D base-volume z-score,SOURCE_READY,True
VOLUME_ACCELERATION_7D_30D,VOLUME_AND_ATTENTION_PROXY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,7D versus 30D base-volume change,SOURCE_READY,True
PRICE_VOLUME_CONFIRMATION_28D,VOLUME_AND_ATTENTION_PROXY,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"sign(r28) * log(mean(volume,7)/mean(volume,30))",SOURCE_READY,True
QUOTE_TURNOVER_CHANGE_7D_30D,VOLUME_AND_ATTENTION_PROXY,HIGHER_SCORE_PREFERRED,QUOTE_TURNOVER_4H,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,"mean(native_quote_turnover, 7D) / mean(native_quote_turnover, 30D)-1",SOURCE_READY,True
BTC_RELATIVE_RETURN_28D,RESIDUAL_AND_MARKET_RELATIVE,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,28D asset return minus BTC,SOURCE_READY,True
MARKET_RESIDUAL_MOMENTUM_28D,RESIDUAL_AND_MARKET_RELATIVE,HIGHER_SCORE_PREFERRED,OHLCV_1D|PIT_MEMBERSHIP,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,BLOCKED_FORMULA_AMBIGUITY: market construction/beta window absent,BLOCKED_FORMULA_AMBIGUITY,False
BETA_ADJUSTED_MOMENTUM_28D,RESIDUAL_AND_MARKET_RELATIVE,HIGHER_SCORE_PREFERRED,OHLCV_1D,close|high|low|volume|availability as applicable,bar_close_time <= decision_time; bar_open_time < decision_time,REGISTERED_IN_FORMULA,lookback complete,exclude until complete; never impute,EXCLUDE_AND_REPORT,TIME_SERIES_SCORE,DESCENDING,stable symbol ascending secondary key,NONE_REGISTERED,NONE_REGISTERED_UNTIL_S1,BLOCKED_FORMULA_AMBIGUITY: beta lookback/estimator absent,BLOCKED_FORMULA_AMBIGUITY,False
