pair,first_valid_open,last_valid_open,applicable_start,applicable_end,expected_applicable_pair_days,covered_pair_days,missing_pair_days,coverage_ratio,p0b_missing_calendar_day_count,documented_inactivity_boundary,boundary_status
1INCH-USDT,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-12-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,1468,1468,0,1.0,0,True,EXACT_FULL_HISTORY
AAVE-USDT,2020-10-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-10-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,1532,1532,0,1.0,0,True,EXACT_FULL_HISTORY
ACH-USDT,2022-05-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,952,952,0,1.0,0,True,EXACT_FULL_HISTORY
ACS-USDT,2023-02-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-02-15T00:00:00+00:00,2024-12-31T00:00:00+00:00,686,686,0,1.0,0,True,EXACT_FULL_HISTORY
ADA-USDT,2019-07-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-07-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,2008,2008,0,1.0,0,True,EXACT_FULL_HISTORY
ADX-USDT,2021-11-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-11-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,1141,1141,0,1.0,0,True,EXACT_FULL_HISTORY
AGI-USDT,2023-04-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,2023-04-11T00:00:00+00:00,2024-12-31T00:00:00+00:00,631,631,0,1.0,0,True,EXACT_FULL_HISTORY
AGIX2L-USDT,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,188,0,1.0,0,True,EXACT_FULL_HISTORY
AGIX2S-USDT,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,2023-02-10T00:00:00+00:00,2023-08-16T00:00:00+00:00,188,188,0,1.0,0,True,EXACT_FULL_HISTORY
AGLD-USDT,2021-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-10-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,1175,1175,0,1.0,0,True,EXACT_FULL_HISTORY
AIOZ-USDT,2021-06-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-06-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,1295,1295,0,1.0,0,True,EXACT_FULL_HISTORY
AKT-USDT,2022-05-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-05-07T00:00:00+00:00,2024-12-31T00:00:00+00:00,970,970,0,1.0,0,True,EXACT_FULL_HISTORY
ALEPH-USDT,2020-09-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,2020-09-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,1576,1576,0,1.0,0,True,EXACT_FULL_HISTORY
ALEX-USDT,2024-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,2024-01-05T00:00:00+00:00,2024-12-31T00:00:00+00:00,362,362,0,1.0,0,True,EXACT_FULL_HISTORY
ALGO-USDT,2019-06-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2019-06-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021,2021,0,1.0,0,True,EXACT_FULL_HISTORY
ALICE-USDT,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,1196,1196,0,1.0,0,True,EXACT_FULL_HISTORY
ALPINE-USDT,2022-04-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,2022-04-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,994,994,0,1.0,0,True,EXACT_FULL_HISTORY
