symbol,probe_months,endpoint,interval,preregistered
BTC-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
ETH-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
KCS-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
ADA-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
DOT-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
SOL-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
LUNA-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
FTT-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
NANO-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
INVALID-RD18-USDT,2019-03;2019-11;2020-06;2021-05;2022-06;2023-10;2024-03,/api/v1/market/candles,1day,True
