provider,snapshot_date,provider_asset_id,symbol_at_observation,canonical_asset_id,exclusion_reason,identity_confidence,collision_status,source_role
coinmarketcap_public,2021-05-09,BTC,BTC,BTC,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,ETH,ETH,ETH,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,BNB,BNB,BNB,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,DOGE,DOGE,DOGE,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,ADA,ADA,ADA,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,USDT,USDT,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,XRP,XRP,XRP,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,DOT,DOT,DOT,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,BCH,BCH,BCH,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2021-05-09,LTC,LTC,LTC,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,BTC,BTC,BTC,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,ETH,ETH,ETH,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,USDT,USDT,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,USDC,USDC,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,BNB,BNB,BNB,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,XRP,XRP,XRP,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,BUSD,BUSD,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,ADA,ADA,ADA,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,SOL,SOL,SOL,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2022-06-26,DOGE,DOGE,DOGE,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,BTC,BTC,BTC,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,ETH,ETH,ETH,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,USDT,USDT,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,BNB,BNB,BNB,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,XRP,XRP,XRP,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,USDC,USDC,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,SOL,SOL,SOL,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,ADA,ADA,ADA,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,DOGE,DOGE,DOGE,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2023-10-22,TRX,TRX,TRX,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,BTC,BTC,BTC,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,ETH,ETH,ETH,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,USDT,USDT,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,BNB,BNB,BNB,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,SOL,SOL,SOL,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,XRP,XRP,XRP,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,USDC,USDC,,STABLECOIN_OR_CASH,LOW,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,ADA,ADA,ADA,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,DOGE,DOGE,DOGE,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
coinmarketcap_public,2024-03-10,SHIB,SHIB,SHIB,,HIGH,NONE,REFERENCE_SOURCE_RECONSTRUCTION
