canonical_id,aliases,category,core,rationale,resolved_symbol,market_status
BTC,BTC/USDT,MEGA_CAP,True,Frozen pilot benchmark and market anchor.,BTC/USDT,AVAILABLE_ACTIVE_SPOT
ETH,ETH/USDT,MEGA_CAP,True,Frozen pilot large-cap smart-contract asset.,ETH/USDT,AVAILABLE_ACTIVE_SPOT
SOL,SOL/USDT,LARGE_CAP_GROWTH,True,Frozen pilot high-beta ecosystem leader.,SOL/USDT,AVAILABLE_ACTIVE_SPOT
LINK,LINK/USDT,INFRASTRUCTURE,True,Frozen pilot oracle and infrastructure exposure.,LINK/USDT,AVAILABLE_ACTIVE_SPOT
AVAX,AVAX/USDT,LARGE_CAP_GROWTH,True,Frozen pilot alternative layer-one exposure.,AVAX/USDT,AVAILABLE_ACTIVE_SPOT
NEAR,NEAR/USDT,LARGE_CAP_GROWTH,True,Frozen pilot growth and application-layer exposure.,NEAR/USDT,AVAILABLE_ACTIVE_SPOT
XRP,XRP/USDT,LARGE_CAP,False,Adds a highly liquid non-EVM payment-network asset.,XRP/USDT,AVAILABLE_ACTIVE_SPOT
ADA,ADA/USDT,LARGE_CAP,False,Adds a long-history liquid layer-one asset.,ADA/USDT,AVAILABLE_ACTIVE_SPOT
DOGE,DOGE/USDT,LARGE_CAP_HIGH_BETA,False,Adds a liquid sentiment-sensitive high-beta asset.,DOGE/USDT,AVAILABLE_ACTIVE_SPOT
DOT,DOT/USDT,LARGE_CAP,False,Adds a liquid interoperability ecosystem asset.,DOT/USDT,AVAILABLE_ACTIVE_SPOT
ATOM,ATOM/USDT,LARGE_CAP,False,Adds a liquid cross-chain ecosystem asset.,ATOM/USDT,AVAILABLE_ACTIVE_SPOT
LTC,LTC/USDT,LEGACY_LIQUID,False,Adds a long-history liquid proof-of-work asset.,LTC/USDT,AVAILABLE_ACTIVE_SPOT
AAVE,AAVE/USDT,DEFI,False,Adds a liquid decentralized-finance protocol asset.,AAVE/USDT,AVAILABLE_ACTIVE_SPOT
INJ,INJ/USDT,GROWTH_INFRASTRUCTURE,False,Adds a higher-beta trading-infrastructure asset.,INJ/USDT,AVAILABLE_ACTIVE_SPOT
AR,AR/USDT,DECENTRALIZED_STORAGE,False,Adds decentralized-storage and data-infrastructure exposure.,AR/USDT,AVAILABLE_ACTIVE_SPOT
FET,FET/USDT; ASI/USDT,AI_DATA,False,Adds AI and autonomous-agent exposure with ticker alias support.,FET/USDT,AVAILABLE_ACTIVE_SPOT
RENDER,RENDER/USDT; RNDR/USDT,AI_COMPUTE,False,Adds decentralized-compute exposure with ticker alias support.,RENDER/USDT,AVAILABLE_ACTIVE_SPOT
AKT,AKT/USDT,DECENTRALIZED_COMPUTE,False,Adds decentralized-cloud infrastructure exposure.,AKT/USDT,AVAILABLE_ACTIVE_SPOT
