canonical_id,aliases,category,core,rationale
BTC,BTC/USDT,MEGA_CAP,True,Frozen pilot benchmark and market anchor.
ETH,ETH/USDT,MEGA_CAP,True,Frozen pilot large-cap smart-contract asset.
SOL,SOL/USDT,LARGE_CAP_GROWTH,True,Frozen pilot high-beta ecosystem leader.
LINK,LINK/USDT,INFRASTRUCTURE,True,Frozen pilot oracle and infrastructure exposure.
AVAX,AVAX/USDT,LARGE_CAP_GROWTH,True,Frozen pilot alternative layer-one exposure.
NEAR,NEAR/USDT,LARGE_CAP_GROWTH,True,Frozen pilot growth and application-layer exposure.
XRP,XRP/USDT,LARGE_CAP,False,Adds a highly liquid non-EVM payment-network asset.
ADA,ADA/USDT,LARGE_CAP,False,Adds a long-history liquid layer-one asset.
DOGE,DOGE/USDT,LARGE_CAP_HIGH_BETA,False,Adds a liquid sentiment-sensitive high-beta asset.
DOT,DOT/USDT,LARGE_CAP,False,Adds a liquid interoperability ecosystem asset.
ATOM,ATOM/USDT,LARGE_CAP,False,Adds a liquid cross-chain ecosystem asset.
LTC,LTC/USDT,LEGACY_LIQUID,False,Adds a long-history liquid proof-of-work asset.
AAVE,AAVE/USDT,DEFI,False,Adds a liquid decentralized-finance protocol asset.
INJ,INJ/USDT,GROWTH_INFRASTRUCTURE,False,Adds a higher-beta trading-infrastructure asset.
AR,AR/USDT,DECENTRALIZED_STORAGE,False,Adds decentralized-storage and data-infrastructure exposure.
FET,FET/USDT; ASI/USDT,AI_DATA,False,Adds AI and autonomous-agent exposure with ticker alias support.
RENDER,RENDER/USDT; RNDR/USDT,AI_COMPUTE,False,Adds decentralized-compute exposure with ticker alias support.
AKT,AKT/USDT,DECENTRALIZED_COMPUTE,False,Adds decentralized-cloud infrastructure exposure.
