feature_id,landmark_age_hours,period_id,universe_id,decision_row_count,unique_control_position_count,unique_pair_count,unique_signal_day_count,time_failure_event_count,max_hold_non_event_count,support_pass,auc_of_negative_channel,time_failure_median_channel,max_hold_median_channel,non_event_minus_event_median_channel_spread,lopo_complete,lopo_evaluated_pair_count,lopo_minimum_auc,lopo_maximum_auc,cell_outcome
ENTRY_MARGIN,24,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.7202380952380952,-0.00107890859340104,0.01664401363950696,0.017722922232908,True,8,0.6961722488038278,0.75,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.7202380952380952,-0.00107890859340104,0.01664401363950696,0.017722922232908,True,8,0.6961722488038278,0.75,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.7202380952380952,-0.00107890859340104,0.01664401363950696,0.017722922232908,True,8,0.6961722488038278,0.75,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.7872395833333333,-0.014663605544054659,0.010668151258622971,0.02533175680267763,True,12,0.7763466042154566,0.8041266252119842,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.7950248756218905,-0.015042057958076449,0.011557409385232198,0.026599467343308647,True,12,0.7847222222222222,0.8145371577574967,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,24,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.7873737373737374,-0.016503227990615987,0.010668151258622971,0.02717137924923896,True,14,0.7767241379310345,0.8049886621315193,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.7718253968253969,-0.01549412988372495,0.02367984743185536,0.03917397731558031,True,8,0.710997442455243,0.8027777777777778,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.7718253968253969,-0.01549412988372495,0.02367984743185536,0.03917397731558031,True,8,0.710997442455243,0.8027777777777778,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.7718253968253969,-0.01549412988372495,0.02367984743185536,0.03917397731558031,True,8,0.710997442455243,0.8027777777777778,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.9010416666666666,-0.02191995206314956,0.02415464650960486,0.04607459857275442,True,12,0.8827780008028904,0.9174074074074074,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.91318407960199,-0.02146215124771389,0.025458181089938137,0.046920332337652026,True,12,0.8958333333333334,0.9352568613652358,QUALIFIED_EXPECTED_DIRECTION
ENTRY_MARGIN,48,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.9156565656565656,-0.02191995206314956,0.027662192302366995,0.049582144365516556,True,14,0.9001572327044025,0.9380594343000358,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.6547619047619048,-0.005871545971450787,0.002587764662322911,0.008459310633773698,True,8,0.5959079283887468,0.6875,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.6547619047619048,-0.005871545971450787,0.002587764662322911,0.008459310633773698,True,8,0.5959079283887468,0.6875,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.6547619047619048,-0.005871545971450787,0.002587764662322911,0.008459310633773698,True,8,0.5959079283887468,0.6875,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.7572916666666667,-0.009899666967116527,0.005858850891520495,0.015758517858637022,True,12,0.737037037037037,0.8002354788069074,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.763681592039801,-0.010007998595368606,0.006082284389162251,0.016090282984530857,True,12,0.746141975308642,0.7981859410430839,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,24,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.7724747474747474,-0.010306378810760686,0.006082284389162251,0.016388663199922937,True,14,0.7520114942528736,0.8030990173847317,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,48,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.5833333333333334,0.0026976215118788005,0.0029902454130215084,0.00029262390114270787,True,8,0.5498721227621484,0.6397058823529411,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,48,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.5833333333333334,0.0026976215118788005,0.0029902454130215084,0.00029262390114270787,True,8,0.5498721227621484,0.6397058823529411,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,48,ROBUSTNESS_2022,E2,45,45,8,22,24,21,True,0.5833333333333334,0.0026976215118788005,0.0029902454130215084,0.00029262390114270787,True,8,0.5498721227621484,0.6397058823529411,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,48,ROBUSTNESS_2023,C2,124,124,12,69,64,60,True,0.5447916666666667,0.0011752950266060713,-6.698324177828452e-05,-0.0012422782683843558,True,12,0.5082417582417582,0.5841027699718988,NO_DIRECTIONAL_EDGE
RECENT_12H_RETURN,48,ROBUSTNESS_2023,D2,127,127,12,69,67,60,True,0.5626865671641791,0.0004395604395603936,0.0024007032224975244,0.001961142782937131,True,12,0.5253212396069539,0.6030964109781843,QUALIFIED_EXPECTED_DIRECTION
RECENT_12H_RETURN,48,ROBUSTNESS_2023,E2,126,126,14,71,66,60,True,0.579040404040404,0.0006556309211035449,0.0037100307418035383,0.0030543998206999934,True,14,0.546485260770975,0.6226279985678482,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,24,ROBUSTNESS_2022,C2,45,45,8,22,24,21,True,0.6507936507936508,0.4580315621669963,0.6218563032773864,0.16382474111039008,True,8,0.6163682864450127,0.7138888888888889,QUALIFIED_EXPECTED_DIRECTION
PATH_POSITION,24,ROBUSTNESS_2022,D2,45,45,8,22,24,21,True,0.6507936507936508,0.4580315621669963,0.6218563032773864,0.16382474111039008,True,8,0.6163682864450127,0.7138888888888889,QUALIFIED_EXPECTED_DIRECTION
