asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,rebalance_time,market_cap_rank,top6_member,top10_member,fixed6_symbol,fixed10_symbol,pit_selected
btc,BTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,618626936448.978,2021-01-04 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,113022171397.96152,2021-01-04 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,13804014049.6833,2021-01-04 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,712801739056.71,2021-01-11 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,144538541298.19492,2021-01-11 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-01-10 00:00:00+00:00,2021-01-10 00:00:00+00:00,2021-01-11 00:00:00+00:00,16234920489.1799,2021-01-11 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,671017747596.7164,2021-01-18 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,141990281349.43542,2021-01-18 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-01-17 00:00:00+00:00,2021-01-17 00:00:00+00:00,2021-01-18 00:00:00+00:00,23306589144.4011,2021-01-18 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,599525276803.4537,2021-01-25 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,158724870354.9694,2021-01-25 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-01-24 00:00:00+00:00,2021-01-24 00:00:00+00:00,2021-01-25 00:00:00+00:00,24541856549.676,2021-01-25 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,617261741250.7816,2021-02-01 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,150859483437.80832,2021-02-01 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-01-31 00:00:00+00:00,2021-01-31 00:00:00+00:00,2021-02-01 00:00:00+00:00,22596227212.8693,2021-02-01 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-02-07 00:00:00+00:00,2021-02-07 00:00:00+00:00,2021-02-08 00:00:00+00:00,726334667736.0049,2021-02-08 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-02-07 00:00:00+00:00,2021-02-07 00:00:00+00:00,2021-02-08 00:00:00+00:00,185226378182.62646,2021-02-08 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-02-07 00:00:00+00:00,2021-02-07 00:00:00+00:00,2021-02-08 00:00:00+00:00,24826282112.3442,2021-02-08 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-02-14 00:00:00+00:00,2021-02-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,909647017116.4132,2021-02-15 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-02-14 00:00:00+00:00,2021-02-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,207817376822.73398,2021-02-15 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-02-14 00:00:00+00:00,2021-02-14 00:00:00+00:00,2021-02-15 00:00:00+00:00,33493246929.7146,2021-02-15 00:00:00+00:00,5,True,True,True,True,True
btc,BTC,2021-02-21 00:00:00+00:00,2021-02-21 00:00:00+00:00,2021-02-22 00:00:00+00:00,1071530978098.8727,2021-02-22 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-02-21 00:00:00+00:00,2021-02-21 00:00:00+00:00,2021-02-22 00:00:00+00:00,222042492338.9616,2021-02-22 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-02-21 00:00:00+00:00,2021-02-21 00:00:00+00:00,2021-02-22 00:00:00+00:00,34061263556.6392,2021-02-22 00:00:00+00:00,7,False,True,True,True,False
btc,BTC,2021-02-28 00:00:00+00:00,2021-02-28 00:00:00+00:00,2021-03-01 00:00:00+00:00,845561698558.5697,2021-03-01 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-02-28 00:00:00+00:00,2021-02-28 00:00:00+00:00,2021-03-01 00:00:00+00:00,163800981512.8203,2021-03-01 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-02-28 00:00:00+00:00,2021-02-28 00:00:00+00:00,2021-03-01 00:00:00+00:00,24859410869.2746,2021-03-01 00:00:00+00:00,7,False,True,True,True,False
btc,BTC,2021-03-07 00:00:00+00:00,2021-03-07 00:00:00+00:00,2021-03-08 00:00:00+00:00,952640081754.0469,2021-03-08 00:00:00+00:00,1,True,True,True,True,True
eth,ETH,2021-03-07 00:00:00+00:00,2021-03-07 00:00:00+00:00,2021-03-08 00:00:00+00:00,197733228967.94928,2021-03-08 00:00:00+00:00,2,True,True,True,True,True
link,LINK,2021-03-07 00:00:00+00:00,2021-03-07 00:00:00+00:00,2021-03-08 00:00:00+00:00,28444026483.0332,2021-03-08 00:00:00+00:00,8,False,True,True,True,False
