signal_id,timestamp,symbol,side,reason,total_entry_score,breakout_score,relative_strength_score,risk_execution_score,stop_loss
RD14-SIG-00000164,2019-10-27T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,70.29805534342056,17.703470969111564,11.5,16.094584374308994,8291.4
RD14-SIG-00000361,2020-01-07T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,72.31773805997365,23.39501462546103,8.0,17.079252193819155,132.88714285714286
RD14-SIG-00000363,2020-01-08T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,76.63111080596812,24.505978042071114,15.0,14.666525882345123,7662.5
RD14-SIG-00000608,2020-05-08T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,71.59729414355724,25.0,11.0,12.275503908224824,9019.842857142858
RD14-SIG-00000641,2020-05-20T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,72.50291576925217,17.276900833475064,11.0,14.840057863843043,0.050042142857142854
RD14-SIG-00000665,2020-05-31T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,78.91064195893193,24.68971631205674,7.5,13.774708969024317,220.28
RD14-SIG-00000756,2020-07-23T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,81.32113235121184,22.91590348714334,7.5,15.001238758646224,247.53285714285713
RD14-SIG-00001354,2022-01-18T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,73.86180168121388,20.807988919766768,15.0,11.899317542601553,1.3803545714285714
RD14-SIG-00002415,2023-01-09T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,72.18280623282108,25.0,8.0,15.364571246518855,0.276332
RD14-SIG-00002564,2023-03-18T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,83.63528544904132,22.402538662328993,15.0,13.247552256881225,24810.942857142854
RD14-SIG-00002565,2023-03-18T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,71.30051392220498,15.020495555460144,7.5,16.33305063371493,1622.8742857142859
RD14-SIG-00002694,2023-06-21T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,86.08805353552684,20.22118513430403,15.0,17.79812493510435,26516.714285714286
RD14-SIG-00002741,2023-07-14T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,78.10529001337268,19.896172524487618,7.5,17.959733311383655,1882.96
RD14-SIG-00002943,2023-10-02T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,78.37021105943431,22.59874280942659,11.0,19.213618896799154,26760.72857142857
RD14-SIG-00002944,2023-10-02T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,73.7601882199799,20.284811873664516,11.5,18.125034119296235,1646.705714285714
RD14-SIG-00003000,2023-10-24T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,74.25595245671964,20.37078763708874,15.0,11.97882870873983,30746.385714285716
RD14-SIG-00003086,2023-12-06T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,80.52674337793142,19.712890953637547,11.0,15.842711749298955,0.39102842857142855
RD14-SIG-00003293,2024-05-21T00:00:00+00:00,ETH/USDT,buy,SCORED_BREAKOUT_ENTRY,83.56014737782301,25.0,11.5,11.86114177050463,3356.02
RD14-SIG-00003470,2024-08-24T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,71.30163897053602,16.975881773695697,11.0,16.85394825217119,58655.44285714286
RD14-SIG-00003562,2024-09-25T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,71.73249525438328,24.72004661466746,11.5,16.312607699816024,0.3546714285714285
RD14-SIG-00003662,2024-10-30T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,86.54966239887604,22.59557513420976,15.0,15.908344209064571,68829.68571428572
RD14-SIG-00003684,2024-11-07T00:00:00+00:00,BTC/USDT,buy,SCORED_BREAKOUT_ENTRY,91.2768107649713,22.08734181663238,15.0,16.01657034231443,70233.05714285714
RD14-SIG-00003686,2024-11-08T00:00:00+00:00,ADA/USDT,buy,SCORED_BREAKOUT_ENTRY,74.60568238970345,25.0,8.0,14.38258100472019,0.3639857142857143
